[2020-11-04T21:22:00.118+0300][0.001s][info][gc] Min heap equals to max heap, disabling ShenandoahUncommit
[2020-11-04T21:22:00.121+0300][0.005s][info][gc] Using Shenandoah
[2020-11-04T21:22:00.121+0300][0.005s][info][gc] Heuristics ergonomically sets -XX:+ExplicitGCInvokesConcurrent
[2020-11-04T21:22:00.121+0300][0.005s][info][gc] Heuristics ergonomically sets -XX:+ShenandoahImplicitGCInvokesConcurrent
[2020-11-04T21:22:00.351+0300][0,235s][info][gc] Trigger: Explicit GC request (System.gc())
[2020-11-04T21:22:04.532+0300][4,416s][info][gc] GC(3) Concurrent update references 83,087ms
[2020-11-04T21:22:04.533+0300][4,416s][info][gc] GC(3) Pause Final Update Refs 0,320ms
[2020-11-04T21:22:04.533+0300][4,416s][info][gc] GC(3) Concurrent cleanup 3794M->730M(12288M) 0,128ms
[2020-11-04T21:22:05.454+0300][5,338s][info][gc] Trigger: Learning 4 of 5. Free (8597M) is below initial threshold (8601M)
[2020-11-04T21:22:05.458+0300][5,341s][info][gc] GC(4) Concurrent reset 3,442ms
[2020-11-04T21:22:05.458+0300][5,342s][info][gc] GC(4) Pause Init Mark (unload classes) 0,251ms
[2020-11-04T21:22:05.538+0300][5,421s][info][gc] GC(4) Concurrent marking (unload classes) 79,244ms
[2020-11-04T21:22:05.539+0300][5,422s][info][gc] GC(4) Pause Final Mark (unload classes) 0,683ms
[2020-11-04T21:22:05.539+0300][5,423s][info][gc] GC(4) Concurrent weak roots 0,381ms
[2020-11-04T21:22:05.539+0300][5,423s][info][gc] GC(4) Concurrent cleanup 3266M->3266M(12288M) 0,037ms
[2020-11-04T21:22:05.540+0300][5,424s][info][gc] GC(4) Concurrent class unloading 0,810ms
[2020-11-04T21:22:05.540+0300][5,424s][info][gc] GC(4) Concurrent strong roots 0,082ms
[2020-11-04T21:22:05.601+0300][5,484s][info][gc] GC(4) Concurrent evacuation 60,623ms
[2020-11-04T21:22:05.601+0300][5,485s][info][gc] GC(4) Pause Init Update Refs 0,011ms
[2020-11-04T21:22:05.668+0300][5,551s][info][gc] GC(4) Concurrent update references 66,663ms
[2020-11-04T21:22:05.668+0300][5,552s][info][gc] GC(4) Pause Final Update Refs 0,216ms
[2020-11-04T21:22:05.669+0300][5,552s][info][gc] GC(4) Concurrent cleanup 3626M->586M(12288M) 0,123ms
[2020-11-04T21:22:06.648+0300][6,531s][info][gc] Trigger: Learning 5 of 5. Free (8597M) is below initial threshold (8601M)
[2020-11-04T21:22:06.651+0300][6,535s][info][gc] GC(5) Concurrent reset 3,614ms
[2020-11-04T21:22:06.652+0300][6,535s][info][gc] GC(5) Pause Init Mark (process weakrefs) (unload classes) 0,123ms
[2020-11-04T21:22:06.719+0300][6,603s][info][gc] GC(5) Concurrent marking (process weakrefs) (unload classes) 67,330ms
[2020-11-04T21:22:06.719+0300][6,603s][info][gc] GC(5) Concurrent precleaning 0,146ms
[2020-11-04T21:22:06.720+0300][6,604s][info][gc] GC(5) Pause Final Mark (process weakrefs) (unload classes) 0,839ms
[2020-11-04T21:22:06.721+0300][6,604s][info][gc] GC(5) Concurrent weak roots 0,328ms
[2020-11-04T21:22:06.721+0300][6,604s][info][gc] GC(5) Concurrent cleanup 3249M->3249M(12288M) 0,036ms
[2020-11-04T21:22:06.722+0300][6,605s][info][gc] GC(5) Concurrent class unloading 0,739ms
[2020-11-04T21:22:06.722+0300][6,605s][info][gc] GC(5) Concurrent strong roots 0,083ms
[2020-11-04T21:22:06.768+0300][6,651s][info][gc] GC(5) Concurrent evacuation 45,930ms
[2020-11-04T21:22:06.768+0300][6,652s][info][gc] GC(5) Pause Init Update Refs 0,021ms
[2020-11-04T21:22:06.828+0300][6,711s][info][gc] GC(5) Concurrent update references 59,472ms
[2020-11-04T21:22:06.828+0300][6,712s][info][gc] GC(5) Pause Final Update Refs 0,165ms
[2020-11-04T21:22:06.828+0300][6,712s][info][gc] GC(5) Concurrent cleanup 3549M->542M(12288M) 0,159ms
[2020-11-04T21:22:13.039+0300][12,922s][info][gc] Trigger: Free (1225M) is below minimum threshold (1228M)
[2020-11-04T21:22:13.042+0300][12,926s][info][gc] GC(6) Concurrent reset 3,013ms
[2020-11-04T21:22:13.042+0300][12,926s][info][gc] GC(6) Pause Init Mark (unload classes) 0,186ms
[2020-11-04T21:22:13.137+0300][13,020s][info][gc] GC(6) Concurrent marking (unload classes) 94,204ms
[2020-11-04T21:22:13.138+0300][13,021s][info][gc] GC(6) Pause Final Mark (unload classes) 0,455ms
[2020-11-04T21:22:13.138+0300][13,021s][info][gc] GC(6) Concurrent weak roots 0,295ms
[2020-11-04T21:22:13.138+0300][13,022s][info][gc] GC(6) Concurrent cleanup 10546M->10546M(12288M) 0,042ms
[2020-11-04T21:22:13.139+0300][13,022s][info][gc] GC(6) Concurrent class unloading 0,787ms
[2020-11-04T21:22:13.139+0300][13,022s][info][gc] GC(6) Concurrent strong roots 0,066ms
[2020-11-04T21:22:13.204+0300][13,088s][info][gc] GC(6) Concurrent evacuation 65,082ms
[2020-11-04T21:22:13.204+0300][13,088s][info][gc] GC(6) Pause Init Update Refs 0,009ms
[2020-11-04T21:22:13.255+0300][13,138s][info][gc] GC(6) Concurrent update references 50,761ms
[2020-11-04T21:22:13.255+0300][13,139s][info][gc] GC(6) Pause Final Update Refs 0,301ms
[2020-11-04T21:22:13.256+0300][13,139s][info][gc] GC(6) Concurrent cleanup 10829M->490M(12288M) 0,221ms
[2020-11-04T21:22:17.138+0300][17,022s][info][gc] Trigger: Average GC time (258,77 ms) is above the time for allocation rate (2476 MB/s) to deplete free headroom (639M)
[2020-11-04T21:22:17.150+0300][17,034s][info][gc] GC(7) Concurrent reset 11,815ms
[2020-11-04T21:22:17.151+0300][17,034s][info][gc] GC(7) Pause Init Mark (unload classes) 0,190ms
[2020-11-04T21:22:17.202+0300][17,086s][info][gc] GC(7) Concurrent marking (unload classes) 51,561ms
[2020-11-04T21:22:17.203+0300][17,087s][info][gc] GC(7) Pause Final Mark (unload classes) 0,425ms
[2020-11-04T21:22:17.203+0300][17,087s][info][gc] GC(7) Concurrent weak roots 0,315ms
[2020-11-04T21:22:17.203+0300][17,087s][info][gc] GC(7) Concurrent cleanup 10562M->10562M(12288M) 0,037ms
[2020-11-04T21:22:17.204+0300][17,088s][info][gc] GC(7) Concurrent class unloading 0,622ms
[2020-11-04T21:22:17.204+0300][17,088s][info][gc] GC(7) Concurrent strong roots 0,095ms
[2020-11-04T21:22:17.266+0300][17,150s][info][gc] GC(7) Concurrent evacuation 62,330ms
[2020-11-04T21:22:17.267+0300][17,150s][info][gc] GC(7) Pause Init Update Refs 0,013ms
[2020-11-04T21:22:17.305+0300][17,188s][info][gc] GC(7) Concurrent update references 37,663ms
[2020-11-04T21:22:17.305+0300][17,189s][info][gc] GC(7) Pause Final Update Refs 0,160ms
[2020-11-04T21:22:17.305+0300][17,189s][info][gc] GC(7) Concurrent cleanup 10854M->650M(12288M) 0,213ms
[2020-11-04T21:22:21.134+0300][21,017s][info][gc] Trigger: Free (1225M) is below minimum threshold (1228M)
[2020-11-04T21:22:21.145+0300][21,029s][info][gc] GC(8) Concurrent reset 11,678ms
[2020-11-04T21:22:21.146+0300][21,029s][info][gc] GC(8) Pause Init Mark (unload classes) 0,110ms
[2020-11-04T21:22:21.182+0300][21,065s][info][gc] GC(8) Concurrent marking (unload classes) 35,684ms
[2020-11-04T21:22:21.182+0300][21,066s][info][gc] GC(8) Pause Final Mark (unload classes) 0,515ms
[2020-11-04T21:22:21.183+0300][21,067s][info][gc] GC(8) Concurrent weak roots 0,419ms
[2020-11-04T21:22:21.183+0300][21,067s][info][gc] GC(8) Concurrent cleanup 10554M->10554M(12288M) 0,039ms
[2020-11-04T21:22:21.184+0300][21,067s][info][gc] GC(8) Concurrent class unloading 0,693ms
[2020-11-04T21:22:21.184+0300][21,067s][info][gc] GC(8) Concurrent strong roots 0,048ms
[2020-11-04T21:22:21.230+0300][21,113s][info][gc] GC(8) Concurrent evacuation 46,087ms
[2020-11-04T21:22:21.230+0300][21,114s][info][gc] GC(8) Pause Init Update Refs 0,015ms
[2020-11-04T21:22:21.255+0300][21,138s][info][gc] GC(8) Concurrent update references 24,477ms
[2020-11-04T21:22:21.255+0300][21,139s][info][gc] GC(8) Pause Final Update Refs 0,292ms
[2020-11-04T21:22:21.256+0300][21,139s][info][gc] GC(8) Concurrent cleanup 10806M->690M(12288M) 0,212ms
[2020-11-04T21:22:25.057+0300][24,941s][info][gc] Trigger: Free (1225M) is below minimum threshold (1228M)
[2020-11-04T21:22:25.069+0300][24,953s][info][gc] GC(9) Concurrent reset 11,829ms
[2020-11-04T21:22:25.070+0300][24,953s][info][gc] GC(9) Pause Init Mark (unload classes) 0,282ms
[2020-11-04T21:22:25.217+0300][25,101s][info][gc] GC(9) Concurrent marking (unload classes) 147,319ms
[2020-11-04T21:22:25.218+0300][25,102s][info][gc] GC(9) Pause Final Mark (unload classes) 0,896ms
[2020-11-04T21:22:25.219+0300][25,102s][info][gc] GC(9) Concurrent weak roots 0,440ms
[2020-11-04T21:22:25.219+0300][25,102s][info][gc] GC(9) Concurrent cleanup 10802M->10802M(12288M) 0,048ms
[2020-11-04T21:22:25.220+0300][25,103s][info][gc] GC(9) Concurrent class unloading 0,853ms
[2020-11-04T21:22:25.220+0300][25,103s][info][gc] GC(9) Concurrent strong roots 0,075ms
[2020-11-04T21:22:25.347+0300][25,230s][info][gc] GC(9) Concurrent evacuation 126,830ms
[2020-11-04T21:22:25.347+0300][25,230s][info][gc] GC(9) Pause Init Update Refs 0,014ms
[2020-11-04T21:22:25.457+0300][25,341s][info][gc] GC(9) Concurrent update references 110,157ms
[2020-11-04T21:22:25.458+0300][25,341s][info][gc] GC(9) Pause Final Update Refs 0,398ms
[2020-11-04T21:22:25.458+0300][25,342s][info][gc] GC(9) Concurrent cleanup 11322M->1310M(12288M) 0,280ms
[2020-11-04T21:22:29.015+0300][28,899s][info][gc] Trigger: Free (1225M) is below minimum threshold (1228M)
[2020-11-04T21:22:29.027+0300][28,911s][info][gc] GC(10) Concurrent reset 11,784ms
[2020-11-04T21:22:29.028+0300][28,912s][info][gc] GC(10) Pause Init Mark (process weakrefs) (unload classes) 0,287ms
[2020-11-04T21:22:29.221+0300][29,105s][info][gc] GC(10) Concurrent marking (process weakrefs) (unload classes) 193,075ms
[2020-11-04T21:22:29.221+0300][29,105s][info][gc] GC(10) Concurrent precleaning 0,123ms
[2020-11-04T21:22:29.222+0300][29,106s][info][gc] GC(10) Pause Final Mark (process weakrefs) (unload classes) 0,857ms
[2020-11-04T21:22:29.223+0300][29,107s][info][gc] GC(10) Concurrent weak roots 0,334ms
[2020-11-04T21:22:29.223+0300][29,107s][info][gc] GC(10) Concurrent cleanup 10934M->10934M(12288M) 0,038ms
[2020-11-04T21:22:29.224+0300][29,107s][info][gc] GC(10) Concurrent class unloading 0,727ms
[2020-11-04T21:22:29.224+0300][29,107s][info][gc] GC(10) Concurrent strong roots 0,083ms
[2020-11-04T21:22:29.330+0300][29,214s][info][gc] GC(10) Concurrent evacuation 106,186ms
[2020-11-04T21:22:29.330+0300][29,214s][info][gc] GC(10) Pause Init Update Refs 0,034ms
[2020-11-04T21:22:29.445+0300][29,329s][info][gc] GC(10) Concurrent update references 114,483ms
[2020-11-04T21:22:29.445+0300][29,329s][info][gc] GC(10) Pause Final Update Refs 0,165ms
[2020-11-04T21:22:29.446+0300][29,329s][info][gc] GC(10) Concurrent cleanup 11550M->1622M(12288M) 0,208ms
[2020-11-04T21:22:32.881+0300][32,765s][info][gc] Trigger: Average GC time (267,38 ms) is above the time for allocation rate (2500 MB/s) to deplete free headroom (667M)
[2020-11-04T21:22:32.893+0300][32,776s][info][gc] GC(11) Concurrent reset 11,792ms
[2020-11-04T21:22:32.893+0300][32,777s][info][gc] GC(11) Pause Init Mark (unload classes) 0,150ms
[2020-11-04T21:22:33.000+0300][32,883s][info][gc] GC(11) Concurrent marking (unload classes) 106,170ms
[2020-11-04T21:22:33.001+0300][32,884s][info][gc] GC(11) Pause Final Mark (unload classes) 0,639ms
[2020-11-04T21:22:33.001+0300][32,885s][info][gc] GC(11) Concurrent weak roots 0,374ms
[2020-11-04T21:22:33.001+0300][32,885s][info][gc] GC(11) Concurrent cleanup 10626M->10626M(12288M) 0,038ms
[2020-11-04T21:22:33.002+0300][32,886s][info][gc] GC(11) Concurrent class unloading 0,905ms
[2020-11-04T21:22:33.002+0300][32,886s][info][gc] GC(11) Concurrent strong roots 0,067ms
[2020-11-04T21:22:33.086+0300][32,969s][info][gc] GC(11) Concurrent evacuation 83,479ms
[2020-11-04T21:22:33.086+0300][32,970s][info][gc] GC(11) Pause Init Update Refs 0,024ms
[2020-11-04T21:22:33.159+0300][33,043s][info][gc] GC(11) Concurrent update references 72,821ms
[2020-11-04T21:22:33.159+0300][33,043s][info][gc] GC(11) Pause Final Update Refs 0,166ms
[2020-11-04T21:22:33.160+0300][33,043s][info][gc] GC(11) Concurrent cleanup 11094M->1338M(12288M) 0,245ms
[2020-11-04T21:22:36.705+0300][36,589s][info][gc] Trigger: Average GC time (279,75 ms) is above the time for allocation rate (2500 MB/s) to deplete free headroom (699M)
[2020-11-04T21:22:36.717+0300][36,601s][info][gc] GC(12) Concurrent reset 11,745ms
[2020-11-04T21:22:36.717+0300][36,601s][info][gc] GC(12) Pause Init Mark (unload classes) 0,104ms
[2020-11-04T21:22:36.801+0300][36,685s][info][gc] GC(12) Concurrent marking (unload classes) 83,595ms
[2020-11-04T21:22:36.802+0300][36,686s][info][gc] GC(12) Pause Final Mark (unload classes) 0,482ms
[2020-11-04T21:22:36.802+0300][36,686s][info][gc] GC(12) Concurrent weak roots 0,303ms
[2020-11-04T21:22:36.802+0300][36,686s][info][gc] GC(12) Concurrent cleanup 10562M->10562M(12288M) 0,037ms
[2020-11-04T21:22:36.803+0300][36,687s][info][gc] GC(12) Concurrent class unloading 0,691ms
[2020-11-04T21:22:36.803+0300][36,687s][info][gc] GC(12) Concurrent strong roots 0,075ms
[2020-11-04T21:22:36.857+0300][36,740s][info][gc] GC(12) Concurrent evacuation 53,414ms
[2020-11-04T21:22:36.857+0300][36,740s][info][gc] GC(12) Pause Init Update Refs 0,012ms
[2020-11-04T21:22:36.904+0300][36,787s][info][gc] GC(12) Concurrent update references 46,926ms
[2020-11-04T21:22:36.904+0300][36,788s][info][gc] GC(12) Pause Final Update Refs 0,151ms
[2020-11-04T21:22:36.904+0300][36,788s][info][gc] GC(12) Concurrent cleanup 10882M->1270M(12288M) 0,200ms
[2020-11-04T21:22:40.432+0300][40,315s][info][gc] Trigger: Average GC time (286,16 ms) is above the time for allocation rate (2539 MB/s) to deplete free headroom (723M)
[2020-11-04T21:22:40.444+0300][40,327s][info][gc] GC(13) Concurrent reset 11,807ms
[2020-11-04T21:22:40.444+0300][40,328s][info][gc] GC(13) Pause Init Mark (unload classes) 0,103ms
[2020-11-04T21:22:40.599+0300][40,483s][info][gc] GC(13) Concurrent marking (unload classes) 154,952ms
[2020-11-04T21:22:40.600+0300][40,484s][info][gc] GC(13) Pause Final Mark (unload classes) 0,612ms
[2020-11-04T21:22:40.600+0300][40,484s][info][gc] GC(13) Concurrent weak roots 0,333ms
[2020-11-04T21:22:40.601+0300][40,484s][info][gc] GC(13) Concurrent cleanup 10678M->10678M(12288M) 0,038ms
[2020-11-04T21:22:40.601+0300][40,485s][info][gc] GC(13) Concurrent class unloading 0,762ms
[2020-11-04T21:22:40.601+0300][40,485s][info][gc] GC(13) Concurrent strong roots 0,056ms
[2020-11-04T21:22:40.713+0300][40,596s][info][gc] GC(13) Concurrent evacuation 111,248ms
[2020-11-04T21:22:40.713+0300][40,597s][info][gc] GC(13) Pause Init Update Refs 0,021ms
[2020-11-04T21:22:40.827+0300][40,711s][info][gc] GC(13) Concurrent update references 114,426ms
[2020-11-04T21:22:40.828+0300][40,712s][info][gc] GC(13) Pause Final Update Refs 0,236ms
[2020-11-04T21:22:40.828+0300][40,712s][info][gc] GC(13) Concurrent cleanup 11306M->1822M(12288M) 0,283ms
[2020-11-04T21:22:44.101+0300][43,985s][info][gc] Trigger: Average GC time (341,08 ms) is above the time for allocation rate (2496 MB/s) to deplete free headroom (851M)
[2020-11-04T21:22:44.113+0300][43,997s][info][gc] GC(14) Concurrent reset 11,744ms
[2020-11-04T21:22:44.114+0300][43,998s][info][gc] GC(14) Pause Init Mark (unload classes) 0,296ms
[2020-11-04T21:22:44.227+0300][44,111s][info][gc] GC(14) Concurrent marking (unload classes) 112,920ms
[2020-11-04T21:22:44.228+0300][44,112s][info][gc] GC(14) Pause Final Mark (unload classes) 0,844ms
[2020-11-04T21:22:44.229+0300][44,112s][info][gc] GC(14) Concurrent weak roots 0,382ms
[2020-11-04T21:22:44.229+0300][44,112s][info][gc] GC(14) Concurrent cleanup 10498M->10498M(12288M) 0,037ms
[2020-11-04T21:22:44.229+0300][44,113s][info][gc] GC(14) Concurrent class unloading 0,742ms
[2020-11-04T21:22:44.229+0300][44,113s][info][gc] GC(14) Concurrent strong roots 0,057ms
[2020-11-04T21:22:44.315+0300][44,198s][info][gc] GC(14) Concurrent evacuation 85,339ms
[2020-11-04T21:22:44.315+0300][44,199s][info][gc] GC(14) Pause Init Update Refs 0,020ms
[2020-11-04T21:22:44.400+0300][44,284s][info][gc] GC(14) Concurrent update references 84,847ms
[2020-11-04T21:22:44.401+0300][44,284s][info][gc] GC(14) Pause Final Update Refs 0,307ms
[2020-11-04T21:22:44.401+0300][44,285s][info][gc] GC(14) Concurrent cleanup 10982M->1710M(12288M) 0,205ms
[2020-11-04T21:22:47.741+0300][47,625s][info][gc] Trigger: Average GC time (320,76 ms) is above the time for allocation rate (2512 MB/s) to deplete free headroom (803M)
[2020-11-04T21:22:47.752+0300][47,635s][info][gc] GC(15) Concurrent reset 10,593ms
[2020-11-04T21:22:47.752+0300][47,636s][info][gc] GC(15) Pause Init Mark (process weakrefs) (unload classes) 0,317ms
[2020-11-04T21:22:47.942+0300][47,825s][info][gc] GC(15) Concurrent marking (process weakrefs) (unload classes) 189,012ms
[2020-11-04T21:22:47.942+0300][47,825s][info][gc] GC(15) Concurrent precleaning 0,136ms
[2020-11-04T21:22:47.943+0300][47,826s][info][gc] GC(15) Pause Final Mark (process weakrefs) (unload classes) 0,580ms
[2020-11-04T21:22:47.943+0300][47,827s][info][gc] GC(15) Concurrent weak roots 0,356ms
[2020-11-04T21:22:47.943+0300][47,827s][info][gc] GC(15) Concurrent cleanup 10702M->10702M(12288M) 0,035ms
[2020-11-04T21:22:47.944+0300][47,828s][info][gc] GC(15) Concurrent class unloading 0,795ms
[2020-11-04T21:22:47.944+0300][47,828s][info][gc] GC(15) Concurrent strong roots 0,086ms
[2020-11-04T21:22:48.066+0300][47,950s][info][gc] GC(15) Concurrent evacuation 122,040ms
[2020-11-04T21:22:48.066+0300][47,950s][info][gc] GC(15) Pause Init Update Refs 0,025ms
[2020-11-04T21:22:48.213+0300][48,096s][info][gc] GC(15) Concurrent update references 146,487ms
[2020-11-04T21:22:48.213+0300][48,097s][info][gc] GC(15) Pause Final Update Refs 0,177ms
