[2020-11-04T21:41:26.071+0300][0.001s][info][gc] Min heap equals to max heap, disabling ShenandoahUncommit
[2020-11-04T21:41:26.076+0300][0.005s][info][gc] Using Shenandoah
[2020-11-04T21:41:26.076+0300][0.005s][info][gc] Heuristics ergonomically sets -XX:+ExplicitGCInvokesConcurrent
[2020-11-04T21:41:26.076+0300][0.005s][info][gc] Heuristics ergonomically sets -XX:+ShenandoahImplicitGCInvokesConcurrent
[2020-11-04T21:41:26.301+0300][0,231s][info][gc] Trigger: Explicit GC request (System.gc())
[2020-11-04T21:41:26.652+0300][0,582s][info][gc] GC(3) Concurrent update references 7,518ms
[2020-11-04T21:41:26.652+0300][0,582s][info][gc] GC(3) Pause Final Update Refs 0,133ms
[2020-11-04T21:41:26.652+0300][0,582s][info][gc] GC(3) Concurrent cleanup 160M->40M(512M) 0,096ms
[2020-11-04T21:41:26.693+0300][0,623s][info][gc] Trigger: Learning 4 of 5. Free (357M) is below initial threshold (358M)
[2020-11-04T21:41:26.693+0300][0,623s][info][gc] GC(4) Concurrent reset 0,361ms
[2020-11-04T21:41:26.694+0300][0,623s][info][gc] GC(4) Pause Init Mark (unload classes) 0,134ms
[2020-11-04T21:41:26.703+0300][0,633s][info][gc] GC(4) Concurrent marking (unload classes) 9,219ms
[2020-11-04T21:41:26.703+0300][0,633s][info][gc] GC(4) Pause Final Mark (unload classes) 0,312ms
[2020-11-04T21:41:26.704+0300][0,634s][info][gc] GC(4) Concurrent weak roots 0,346ms
[2020-11-04T21:41:26.704+0300][0,634s][info][gc] GC(4) Concurrent cleanup 150M->150M(512M) 0,026ms
[2020-11-04T21:41:26.705+0300][0,634s][info][gc] GC(4) Concurrent class unloading 0,742ms
[2020-11-04T21:41:26.705+0300][0,635s][info][gc] GC(4) Concurrent strong roots 0,052ms
[2020-11-04T21:41:26.708+0300][0,638s][info][gc] GC(4) Concurrent evacuation 2,994ms
[2020-11-04T21:41:26.708+0300][0,638s][info][gc] GC(4) Pause Init Update Refs 0,021ms
[2020-11-04T21:41:26.715+0300][0,645s][info][gc] GC(4) Concurrent update references 7,307ms
[2020-11-04T21:41:26.716+0300][0,646s][info][gc] GC(4) Pause Final Update Refs 0,231ms
